neg,neu,pos,compound,title,label,timestamp
0,0.684,0.316,0.5707,A little hopium goes a long way! $11k bullish gain porn,1,2022-10-13
0.368,0.632,0,-0.5423,If bad cpi = homeless for me. 🥹😀🪦🪦💀💀,-1,2022-10-13
0,1,0,0,Put holders today,0,2022-10-13
0,0.844,0.156,0.5719,All red today - but the Hyper Efficient Market has the new cheap workers for MCD and Dominos Pizza already priced in.,1,2022-10-13
0,1,0,0,"Y'all called it one day too early, PUT options before market closes",0,2022-10-13
0,0.633,0.367,0.4404,This can’t be a good economic indicator.,1,2022-10-13
0,0.541,0.459,0.5267,Quick Gain $7k in 2 minutes,1,2022-10-13
0,1,0,0,BUY HARDER,0,2022-10-13
0,1,0,0,Doctor! There is still life in this market! Buy the heartbeat!,0,2022-10-13
0,1,0,0,Media and Influencer’s?,0,2022-10-13
0,1,0,0,So what the F happened today?,0,2022-10-13
0,1,0,0,Picture of current events. Another 75 bps due Nov 2.,0,2022-10-13
0,1,0,0,Which one of you degens sold Trevor Milton a house in exchange for NKLA options?,0,2022-10-13
0,1,0,0,3500$ into $370 Oct 14th Calls. Let’s go!,0,2022-10-13
0,1,0,0,Update: TIFU by consenting,0,2022-10-13
0,1,0,0,Oh jheez i wonder why inflation is out of control…,0,2022-10-13
0,1,0,0,Why would the FED do this us?,0,2022-10-13
0,1,0,0,Yahoo thinks Wendy’s is a meme stock because of its mentions on WSB.,0,2022-10-13
0,1,0,0,Whats going on with Compass Pathways,0,2022-10-13
0,1,0,0,The Reverse Rug Pull,0,2022-10-13
0,1,0,0,Why SPY reversed?,0,2022-10-13
0,1,0,0,Notice a pattern in these trades CSCO DGII RVNC JKHY EQNR CORN SNPS Measured swing pullbacks.,0,2022-10-13
0,1,0,0,Valerie Gastaldy's view on the S&P500.,0,2022-10-13
0,1,0,0,ancient wallstreet,0,2022-10-13
0,1,0,0,who's your choice?,0,2022-10-13
0,1,0,0,$twtr $TSLA burnt hair,0,2022-10-13
0,0.741,0.259,0.4215,~ When to Raise Rates and How I Saved the Economy ~,1,2022-10-13
0,1,0,0,It's called technical rebounce,0,2022-10-13
0,1,0,0,SOXS etf,0,2022-10-13
0,1,0,0,IMO,0,2022-10-13
0,1,0,0,"In the last 17 months, CPI came below estimates only once",0,2022-10-13
0,1,0,0,CPI 8.2 - Trading today,0,2022-10-13
0,1,0,0,Light it up Powell,0,2022-10-13
0,1,0,0,"Bear spotted this weekend, is this what they mean by Making Fat STACKS!?",0,2022-10-13
0,0.484,0.516,0.7501,LOL What now? Or we ready to pivot?,1,2022-10-13
0,1,0,0,Bulls rn,0,2022-10-13
0,1,0,0,FTC is hogging all Nancy’s action…,0,2022-10-13
0,1,0,0,I always decide to be extra regarded on historic days,0,2022-10-13
0.25,0.543,0.207,-0.1027,342 Years Worth of Capital Loss Carryover,0,2022-10-13
0,1,0,0,How do I tell my wife’s boyfriend,0,2022-10-13
0,1,0,0,What a difference 18 hours makes:,0,2022-10-13
0,0.807,0.193,0.8442,"Friendly reminder to all you bulls out there. On an inflation-adjusted basis, it took the S&P500 almost 30 years to match its 1929 peak, 25 years to match its 1968 peak, and 15 years to match its 2000 peak. Good luck.",1,2022-10-13
0,1,0,0,𝗜 𝗰𝗮𝗻𝘁 𝘄𝗮𝗶𝘁 𝗳𝗼𝗿 𝗮𝗻𝗼𝘁𝗵𝗲𝗿 𝘁𝗲𝗿𝗿𝗶𝗯𝗹𝗲 ͎𝗖͎𝗣͎𝗜͎ ͎ 𝗿𝗲𝗽𝗼𝗿𝘁 𝘁𝗼 𝗱𝗿𝗼𝗽.. 𝗧𝗵𝗮𝘁 𝘄𝗮𝘀 𝗳𝘂𝗻!,0,2022-10-13
